,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
3744,Giannelli Imbula,Defensive Midfield,23,FC Porto,Liga NOS,Stoke City,England,2015-2016,16000000.0,24250000
3745,Aymen Abdennour,Centre-Back,26,Monaco,Ligue 1,Valencia CF,Spain,2015-2016,10000000.0,22000000
3746,Raúl Jiménez,Centre-Forward,24,Atlético Madrid,LaLiga,Benfica,Portugal,2015-2016,5000000.0,22000000
3747,Mario Mandzukic,Left Winger,29,Atlético Madrid,LaLiga,Juventus,Italy,2015-2016,20000000.0,21000000
3748,Luciano Vietto,Centre-Forward,21,Villarreal CF,LaLiga,Atlético Madrid,Spain,2015-2016,20000000.0,20000000
3749,André Gomes,Central Midfield,21,Benfica,Liga NOS,Valencia CF,Spain,2015-2016,20000000.0,20000000
3750,Andrea Bertolacci,Central Midfield,24,AS Roma,Serie A,AC Milan,Italy,2015-2016,15000000.0,20000000
3751,Georginio Wijnaldum,Central Midfield,24,PSV Eindhoven,Eredivisie,Newcastle,England,2015-2016,15000000.0,20000000
3752,Giannelli Imbula,Defensive Midfield,22,Marseille,Ligue 1,FC Porto,Portugal,2015-2016,12000000.0,20000000
3753,Abdul Rahman Baba,Left-Back,21,FC Augsburg,1.Bundesliga,Chelsea,England,2015-2016,10000000.0,20000000
3754,Ivan Perisic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Inter,Italy,2015-2016,13000000.0,19000000
3755,Aleksandar Mitrovic,Centre-Forward,20,RSC Anderlecht,Jupiler Pro League,Newcastle,England,2015-2016,11000000.0,18500000
3756,Elkeson,Centre-Forward,26,GZ Evergrande,Super League,SIPG,China,2015-2016,4500000.0,18500000
3757,Florian Thauvin,Right Winger,22,Marseille,Ligue 1,Newcastle,England,2015-2016,12000000.0,18350000
3758,Gervinho,Left Winger,28,AS Roma,Serie A,HB CFFC,China,2015-2016,15000000.0,18000000
3759,Matteo Darmian,Right-Back,25,Torino,Serie A,Man Utd,England,2015-2016,12000000.0,18000000
3760,Simone Zaza,Centre-Forward,24,Sassuolo,Serie A,Juventus,Italy,2015-2016,11000000.0,18000000
3761,Sergej Milinkovic-Savic,Central Midfield,20,KRC Genk,Jupiler Pro League,Lazio,Italy,2015-2016,4000000.0,18000000
3762,Oumar Niasse,Centre-Forward,25,Loko Moscow,Premier Liga,Everton,England,2015-2016,10000000.0,17900000
3763,Nathaniel Clyne,Right-Back,24,Southampton,Premier League,Liverpool,England,2015-2016,17000000.0,17700000
3764,Xherdan Shaqiri,Right Winger,23,Inter,Serie A,Stoke City,England,2015-2016,17000000.0,17000000
3765,José Salomón Rondón,Centre-Forward,25,Zenit S-Pb,Premier Liga,West Brom,England,2015-2016,15000000.0,17000000
3766,Aleix Vidal,Right Winger,25,Sevilla FC,LaLiga,FC Barcelona,Spain,2015-2016,10000000.0,17000000
3767,Filipe Luís,Left-Back,29,Chelsea,Premier League,Atlético Madrid,Spain,2015-2016,15000000.0,16000000
3768,Toby Alderweireld,Centre-Back,26,Atlético Madrid,LaLiga,Spurs,England,2015-2016,15000000.0,16000000
3769,Moussa Sow,Centre-Forward,29,Fenerbahce,Süper Lig,Al-Ahli (UAE),United Arab Emirates,2015-2016,13000000.0,16000000
3770,Jonjo Shelvey,Central Midfield,23,Swansea,Premier League,Newcastle,England,2015-2016,12000000.0,16000000
3771,Roberto Soldado,Centre-Forward,30,Spurs,Premier League,Villarreal CF,Spain,2015-2016,10000000.0,16000000
3772,Andros Townsend,Right Winger,24,Spurs,Premier League,Newcastle,England,2015-2016,8000000.0,15700000
3773,Virgil van Dijk,Centre-Back,24,Celtic,Premiership,Southampton,England,2015-2016,5000000.0,15700000
3774,Roberto Pereyra,Attacking Midfield,24,Udinese Calcio,Serie A,Juventus,Italy,2015-2016,17000000.0,15000000
3775,Xherdan Shaqiri,Right Winger,23,Bayern Munich ,1.Bundesliga,Inter,Italy,2015-2016,17000000.0,15000000
3776,Asier Illarramendi,Defensive Midfield,25,Real Madrid,LaLiga,Real Sociedad,Spain,2015-2016,15000000.0,15000000
3777,Dimitri Payet,Attacking Midfield,28,Marseille,Ligue 1,West Ham,England,2015-2016,13000000.0,15000000
3778,Mario Suárez,Defensive Midfield,28,Atlético Madrid,LaLiga,Fiorentina,Italy,2015-2016,10000000.0,15000000
3779,Jordy Clasie,Defensive Midfield,24,Feyenoord,Eredivisie,Southampton,England,2015-2016,10000000.0,15000000
3780,João Cancelo,Right-Back,21,Benfica,Liga NOS,Valencia CF,Spain,2015-2016,5000000.0,15000000
3781,Ivan Cavaleiro,Right Winger,21,Benfica,Liga NOS,Monaco,France,2015-2016,3500000.0,15000000
3782,Clinton N'Jie,Centre-Forward,22,Olympique Lyon,Ligue 1,Spurs,England,2015-2016,5000000.0,14100000
3783,Petr Cech,Goalkeeper,33,Chelsea,Premier League,Arsenal,England,2015-2016,12000000.0,14000000
3784,Paulinho,Central Midfield,26,Spurs,Premier League,GZ Evergrande,China,2015-2016,9000000.0,14000000
3785,Adama Traoré,Central Midfield,20,LOSC Lille,Ligue 1,Monaco,France,2015-2016,1250000.0,14000000
3786,Yohan Cabaye,Central Midfield,29,Paris SG,Ligue 1,Crystal Palace,England,2015-2016,16000000.0,13900000
3787,Benik Afobe,Centre-Forward,22,Wolves,Championship,Bournemouth,England,2015-2016,7000000.0,13300000
3788,Sergi Darder,Central Midfield,21,Málaga CF,LaLiga,Olympique Lyon,France,2015-2016,7500000.0,13100000
3789,Hernanes,Attacking Midfield,30,Inter,Serie A,Juventus,Italy,2015-2016,14000000.0,13000000
3790,Demba Ba,Centre-Forward,30,Besiktas,Süper Lig,SH Shenhua,China,2015-2016,12000000.0,13000000
3791,Fredy Guarín,Central Midfield,29,Inter,Serie A,SH Shenhua,China,2015-2016,10500000.0,13000000
3792,Charles Aránguiz,Central Midfield,26,Internacional,Série A,Bay. Leverkusen,Germany,2015-2016,9500000.0,13000000
3793,Ramiro Funes Mori,Centre-Back,24,River Plate,Primera División,Everton,England,2015-2016,6000000.0,12900000
3794,Mohamed Elneny,Defensive Midfield,23,FC Basel,Super League,Arsenal,England,2015-2016,4000000.0,12500000
3795,Andre Gray,Centre-Forward,24,Brentford,Championship,Burnley,England,2015-2016,1000000.0,12400000
3796,Max Kruse,Second Striker,27,Bor. M'gladbach,1.Bundesliga,VfL Wolfsburg,Germany,2015-2016,12000000.0,12000000
3797,Luis Muriel,Centre-Forward,24,Udinese Calcio,Serie A,Sampdoria,Italy,2015-2016,10000000.0,12000000
3798,Chicharito,Centre-Forward,27,Man Utd,Premier League,Bay. Leverkusen,Germany,2015-2016,10000000.0,12000000
3799,Chancel Mbemba,Centre-Back,20,RSC Anderlecht,Jupiler Pro League,Newcastle,England,2015-2016,8000000.0,12000000
3800,Jordan Ayew,Centre-Forward,23,FC Lorient,Ligue 1,Aston Villa,England,2015-2016,6000000.0,12000000
3801,Rony Lopes,Right Winger,19,Man City,Premier League,Monaco,France,2015-2016,4500000.0,12000000
3802,Jordan Rhodes,Centre-Forward,26,Blackburn,Championship,Middlesbrough,England,2015-2016,10000000.0,11900000
3803,Wahbi Khazri,Attacking Midfield,24,G. Bordeaux,Ligue 1,Sunderland,England,2015-2016,7500000.0,11800000
3804,Allan,Central Midfield,24,Udinese Calcio,Serie A,SSC Napoli,Italy,2015-2016,11500000.0,11500000
3805,Fabian Delph,Central Midfield,25,Aston Villa,Premier League,Man City,England,2015-2016,10000000.0,11500000
3806,Jeremain Lens,Right Winger,27,Dynamo Kyiv,Premier Liga,Sunderland,England,2015-2016,12000000.0,11400000
3807,Tyrone Mings,Centre-Back,22,Ipswich,Championship,Bournemouth,England,2015-2016,6000000.0,11300000
3808,James Chester,Centre-Back,26,Hull City,Championship,West Brom,England,2015-2016,2000000.0,11300000
3809,Gonzalo Castro,Central Midfield,28,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,Germany,2015-2016,14000000.0,11000000
3810,Asmir Begovic,Goalkeeper,28,Stoke City,Premier League,Chelsea,England,2015-2016,12000000.0,11000000
3811,Ciro Immobile,Centre-Forward,25,Bor. Dortmund,1.Bundesliga,Sevilla FC,Spain,2015-2016,10000000.0,11000000
3812,Angelo Ogbonna,Centre-Back,27,Juventus,Serie A,West Ham,England,2015-2016,9000000.0,11000000
3813,Kevin Kampl,Central Midfield,24,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,Germany,2015-2016,9000000.0,11000000
3814,Shinji Okazaki,Centre-Forward,29,1.FSV Mainz 05,1.Bundesliga,Leicester,England,2015-2016,8000000.0,11000000
3815,Jonathan Calleri,Centre-Forward,22,Boca Juniors,Primera División,Maldonado,Argentina,2015-2016,7500000.0,11000000
3816,Steven Naismith,Right Winger,29,Everton,Premier League,Norwich,England,2015-2016,5000000.0,11000000
3817,Jemerson,Centre-Back,23,Atlético-MG,Série A,Monaco,France,2015-2016,5000000.0,11000000
3818,Geuvânio,Right Winger,23,Santos FC,Série A,TJ Quanjian,England,2015-2016,4500000.0,11000000
3819,Thiago Neves,Attacking Midfield,30,Hilal,Professional League,Al-Jazira,United Arab Emirates,2015-2016,4000000.0,11000000
3820,Jordan Amavi,Left-Back,21,OGC Nice,Ligue 1,Aston Villa,England,2015-2016,4000000.0,11000000
3821,Timm Klose,Centre-Back,27,VfL Wolfsburg,1.Bundesliga,Norwich,England,2015-2016,3000000.0,11000000
3822,Yangyang Jin,Centre-Back,23,GZ R&F,Super League,HB CFFC,China,2015-2016,175000.0,10830000
3823,Fabio Borini,Left Winger,24,Liverpool,Premier League,Sunderland,England,2015-2016,7000000.0,10700000
3824,Abdoulaye Doucouré,Central Midfield,23,Stade Rennais,Ligue 1,Watford,England,2015-2016,6000000.0,10600000
3825,Adalberto Peñaranda,Centre-Forward,18,Udinese Calcio,Serie A,Watford,England,2015-2016,500000.0,10600000
3826,Johannes Geis,Defensive Midfield,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,Germany,2015-2016,11000000.0,10500000
3827,Ricardo Álvarez,Attacking Midfield,27,Inter,Serie A,Sunderland,England,2015-2016,10000000.0,10500000
3828,Jesús Corona,Right Winger,22,FC Twente,Eredivisie,FC Porto,Portugal,2015-2016,6500000.0,10500000
3829,Dusan Basta,Right-Back,30,Udinese Calcio,Serie A,Lazio,Italy,2015-2016,5500000.0,10500000
3830,Domenico Berardi,Right Winger,20,Juventus,Serie A,Sassuolo,Italy,2015-2016,17500000.0,10000000
3831,Serge Aurier,Right-Back,22,Toulouse,Ligue 1,Paris SG,France,2015-2016,10000000.0,10000000
3832,Josip Drmic,Centre-Forward,22,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,Germany,2015-2016,8000000.0,10000000
3833,Jordan Veretout,Central Midfield,22,FC Nantes,Ligue 1,Aston Villa,England,2015-2016,8000000.0,10000000
3834,Max Gradel,Left Winger,27,Saint-Étienne,Ligue 1,Bournemouth,England,2015-2016,6500000.0,10000000
3835,Connor Wickham,Centre-Forward,22,Sunderland,Premier League,Crystal Palace,England,2015-2016,5000000.0,10000000
3836,Adama Traoré,Right Winger,19,FC Barcelona B,2ª B - Grupo III,Aston Villa,England,2015-2016,5000000.0,10000000
3837,Santi Mina,Centre-Forward,19,Celta de Vigo,LaLiga,Valencia CF,Spain,2015-2016,4000000.0,10000000
3838,Jinhao Bi,Centre-Back,25,HN Jianye,Super League,SH Shenhua,China,2015-2016,250000.0,9980000
3839,Robbie Brady,Left Midfield,23,Hull City,Championship,Norwich,England,2015-2016,2000000.0,9900000
3840,Lu Zhang,Goalkeeper,28,Liaoning FC,Super League,TJ Quanjian,England,2015-2016,100000.0,9800000
3841,Matija Nastasic,Centre-Back,22,Man City,Premier League,FC Schalke 04,Germany,2015-2016,14000000.0,9500000
3842,Kevin Trapp,Goalkeeper,25,E. Frankfurt,1.Bundesliga,Paris SG,France,2015-2016,8000000.0,9500000
3843,Aderllan Santos,Centre-Back,26,Braga,Liga NOS,Valencia CF,Spain,2015-2016,7500000.0,9500000
3844,Alberto Paloschi,Centre-Forward,26,Chievo Verona,Serie A,Swansea,England,2015-2016,6000000.0,9500000
3845,Michail Antonio,Right Winger,25,Nottm Forest,Championship,West Ham,England,2015-2016,2500000.0,9500000
3846,Mapou Yanga-Mbiwa,Centre-Back,26,AS Roma,Serie A,Olympique Lyon,France,2015-2016,6500000.0,9400000
3847,Derlis González,Left Winger,21,FC Basel,Super League,Dynamo Kyiv,Russia,2015-2016,3750000.0,9400000
3848,Lewis Grabban,Centre-Forward,28,Norwich,Premier League,Bournemouth,England,2015-2016,3000000.0,9350000
3849,Ke Sun,Right Winger,26,JS Suning,Super League,TJ Quanjian,England,2015-2016,825000.0,9200000
3850,Gabriel Boschilia,Left Winger,19,São Paulo,Série A,Monaco,France,2015-2016,3000000.0,9060000
3851,Bastian Schweinsteiger,Central Midfield,30,Bayern Munich ,1.Bundesliga,Man Utd,England,2015-2016,22000000.0,9000000
3852,Idrissa Gueye,Central Midfield,25,LOSC Lille,Ligue 1,Aston Villa,England,2015-2016,7500000.0,9000000
3853,Asamoah Gyan,Centre-Forward,29,Al-Ain FC,UAE Gulf League,SIPG,China,2015-2016,4500000.0,9000000
3854,N'Golo Kanté,Defensive Midfield,24,SM Caen,Ligue 1,Leicester,England,2015-2016,4500000.0,9000000
3855,Guido Carrillo,Centre-Forward,24,Estudiantes,Primera División,Monaco,France,2015-2016,3200000.0,9000000
3856,Étienne Capoue,Defensive Midfield,27,Spurs,Premier League,Watford,England,2015-2016,7500000.0,8900000
3857,Jürgen Damm,Right Winger,22,CF Pachuca,Liga MX Clausura,Tigres UANL,Mexico,2015-2016,1200000.0,8850000
3858,Khamis Esmaeel,Central Midfield,26,Al-Jazira,UAE Gulf League,Al-Ahli (UAE),United Arab Emirates,2015-2016,100000.0,8700000
3859,José Manuel Jurado,Attacking Midfield,29,Spartak Moscow,Premier Liga,Watford,England,2015-2016,7000000.0,8600000
3860,Benjamin Stambouli,Centre-Back,24,Spurs,Premier League,Paris SG,France,2015-2016,5000000.0,8600000
3861,Andrea Bertolacci,Central Midfield,24,Genoa,Serie A,AS Roma,Italy,2015-2016,15000000.0,8500000
3862,Mattia Destro,Centre-Forward,24,AS Roma,Serie A,Bologna,Italy,2015-2016,13000000.0,8500000
3863,Gil,Centre-Back,28,Corinthians,Série A,SD Luneng,China,2015-2016,7500000.0,8500000
3864,Joshua Kimmich,Right-Back,20,VfB Stuttgart,1.Bundesliga,Bayern Munich ,Germany,2015-2016,5000000.0,8500000
3865,Rudy Gestede,Centre-Forward,26,Blackburn,Championship,Aston Villa,England,2015-2016,3500000.0,8500000
3866,Nordin Amrabat,Left Winger,28,Málaga CF,LaLiga,Watford,England,2015-2016,6000000.0,8400000
3867,Matej Vydra,Centre-Forward,23,Udinese Calcio,Serie A,Watford,England,2015-2016,5500000.0,8400000
3868,Andrea Belotti,Centre-Forward,21,US Palermo,Serie A,Torino,Italy,2015-2016,5000000.0,8400000
3869,Danny Ings,Centre-Forward,22,Burnley,Championship,Liverpool,England,2015-2016,12000000.0,8300000
3870,Jonny Evans,Centre-Back,27,Man Utd,Premier League,West Brom,England,2015-2016,6000000.0,8300000
3871,Obbi Oulare,Centre-Forward,19,Club Brugge,Jupiler Pro League,Watford,England,2015-2016,5000000.0,8230000
3872,Bradley Johnson,Central Midfield,28,Norwich,Premier League,Derby,England,2015-2016,4000000.0,8100000
3873,Raúl García,Attacking Midfield,29,Atlético Madrid,LaLiga,Athletic Bilbao,Spain,2015-2016,15000000.0,8000000
3874,Thorgan Hazard,Left Winger,22,Chelsea,Premier League,Bor. M'gladbach,Germany,2015-2016,10000000.0,8000000
3875,Renato Augusto,Central Midfield,27,Corinthians,Série A,BJ Sinobo Guoan,China,2015-2016,9000000.0,8000000
3876,Fernando,Defensive Midfield,23,Shakhtar D.,Premier Liga,Sampdoria,Italy,2015-2016,9000000.0,8000000
3877,Luiz Adriano,Centre-Forward,28,Shakhtar D.,Premier Liga,AC Milan,Italy,2015-2016,8500000.0,8000000
3878,Jeison Murillo,Centre-Back,23,Granada CF,LaLiga,Inter,Italy,2015-2016,8000000.0,8000000
3879,Samu García,Right Winger,24,Málaga CF,LaLiga,Villarreal CF,Spain,2015-2016,7500000.0,8000000
3880,Josef,Defensive Midfield,26,São Paulo,Série A,Fenerbahce,Turkey,2015-2016,7500000.0,8000000
3881,Samu Castillejo,Right Winger,20,Málaga CF,LaLiga,Villarreal CF,Spain,2015-2016,7500000.0,8000000
3882,Steven Nzonzi,Defensive Midfield,26,Stoke City,Premier League,Sevilla FC,Spain,2015-2016,7500000.0,8000000
3883,Burak Yilmaz,Centre-Forward,30,Galatasaray,Süper Lig,BJ Sinobo Guoan,China,2015-2016,7000000.0,8000000
3884,Matías Kranevitter,Defensive Midfield,22,River Plate,Primera División,Atlético Madrid,Spain,2015-2016,7000000.0,8000000
3885,Joselu,Centre-Forward,25,Hannover 96,1.Bundesliga,Stoke City,England,2015-2016,6000000.0,8000000
3886,Admir Mehmedi,Second Striker,24,SC Freiburg,2.Bundesliga,Bay. Leverkusen,Germany,2015-2016,6000000.0,8000000
3887,Kenedy,Left Midfield,19,Fluminense,Série A,Chelsea,England,2015-2016,6000000.0,8000000
3888,Davie Selke,Centre-Forward,20,Werder Bremen,1.Bundesliga,RB Leipzig,Germany,2015-2016,5000000.0,8000000
3889,Jonas Hofmann,Right Winger,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,Germany,2015-2016,4000000.0,8000000
3890,Alberto Grassi,Central Midfield,20,Atalanta,Serie A,SSC Napoli,Italy,2015-2016,2000000.0,8000000
3891,Rolando Mandragora,Central Midfield,18,Genoa,Serie A,Juventus,Italy,2015-2016,2000000.0,8000000
3892,Stewart Downing,Left Midfield,31,West Ham,Premier League,Middlesbrough,England,2015-2016,6000000.0,7900000
3893,Simon Kjær,Centre-Back,26,LOSC Lille,Ligue 1,Fenerbahce,Turkey,2015-2016,8000000.0,7650000
3894,Lucas Ocampos,Left Winger,20,Monaco,Ligue 1,Marseille,France,2015-2016,6500000.0,7500000
3895,Jonathan Tah,Centre-Back,19,Hamburger SV,1.Bundesliga,Bay. Leverkusen,Germany,2015-2016,6000000.0,7500000
3896,Cédric Bakambu,Centre-Forward,24,Bursaspor,Süper Lig,Villarreal CF,Spain,2015-2016,5500000.0,7500000
3897,Robert Beric,Centre-Forward,24,Rapid Vienna,Bundesliga,Saint-Étienne,France,2015-2016,3000000.0,7500000
3898,Jozo Simunovic,Centre-Back,21,Dinamo Zagreb,1.HNL,Celtic,England,2015-2016,2000000.0,7500000
3899,Carlos Peña,Central Midfield,25,León,Liga MX Clausura,Chivas,Mexico,2015-2016,3000000.0,7300000
3900,Jucilei,Defensive Midfield,27,Al-Jazira,UAE Gulf League,SD Luneng,China,2015-2016,7000000.0,7200000
3901,Jonathas,Centre-Forward,26,Elche CF,LaLiga2,Real Sociedad,Spain,2015-2016,6000000.0,7200000
3902,Patrick Roberts,Right Winger,18,Fulham,Championship,Man City,England,2015-2016,2500000.0,7200000
3903,Haifeng Ding,Left-Back,24,Liaoning FC,Super League,HB CFFC,China,2015-2016,225000.0,7100000
3904,Chao Gu,Goalkeeper,26,ZJ Greentown,Super League,JS Suning,China,2015-2016,125000.0,7050000
3905,Cédric Soares,Right-Back,23,Sporting CP,Liga NOS,Southampton,England,2015-2016,9500000.0,7000000
3906,Lima,Centre-Forward,32,Benfica,Liga NOS,Al-Ahli (UAE),United Arab Emirates,2015-2016,8000000.0,7000000
3907,Iago Falque,Right Winger,26,Genoa,Serie A,AS Roma,Italy,2015-2016,8000000.0,7000000
3908,Gökhan Inler,Defensive Midfield,31,SSC Napoli,Serie A,Leicester,England,2015-2016,7500000.0,7000000
3909,Ozan Tufan,Defensive Midfield,20,Bursaspor,Süper Lig,Fenerbahce,Turkey,2015-2016,7500000.0,7000000
3910,Jefferson Farfán,Right Winger,30,FC Schalke 04,1.Bundesliga,Al-Jazira,United Arab Emirates,2015-2016,7000000.0,7000000
3911,Juanmi,Right Winger,22,Málaga CF,LaLiga,Southampton,England,2015-2016,7000000.0,7000000
3912,Mathew Ryan,Goalkeeper,23,Club Brugge,Jupiler Pro League,Valencia CF,Spain,2015-2016,7000000.0,7000000
3913,Gastón Pereiro,Attacking Midfield,20,Nacional,Primera División,PSV Eindhoven,Netherlands,2015-2016,7000000.0,7000000
3914,Vlad Chiriches,Centre-Back,25,Spurs,Premier League,SSC Napoli,Italy,2015-2016,6000000.0,7000000
3915,Grégoire Defrel,Centre-Forward,24,RC Cesena,Serie B,Sassuolo,Italy,2015-2016,6000000.0,7000000
3916,Ersan Gülüm,Centre-Back,28,Besiktas,Süper Lig,HB CFFC,China,2015-2016,5000000.0,7000000
3917,Marko Grujic,Central Midfield,19,Red Star,SuperLiga,Liverpool,England,2015-2016,3000000.0,7000000
3918,Oriol Romeu,Defensive Midfield,23,Chelsea,Premier League,Southampton,England,2015-2016,2500000.0,7000000
3919,Yohan Benalouane,Centre-Back,28,Atalanta,Serie A,Leicester,England,2015-2016,1300000.0,7000000
3920,Naif Hazazi,Centre-Forward,26,Shabab,Professional League,Nasr,Saudi Arabia,2015-2016,1000000.0,6800000
3921,Jiawei Yang,Right Winger,24,SH Shenxin,League One,JS Suning,China,2015-2016,150000.0,6750000
3922,Tom Ince,Right Winger,23,Hull City,Championship,Derby,England,2015-2016,6500000.0,6700000
3923,Éder,Centre-Forward,27,Braga,Liga NOS,Swansea,England,2015-2016,6000000.0,6700000
3924,Dianzuo Liu,Goalkeeper,25,GZ R&F,Super League,GZ Evergrande,China,2015-2016,200000.0,6700000
3925,Daniel Amartey,Defensive Midfield,21,FC Copenhagen,Superligaen,Leicester,England,2015-2016,3000000.0,6600000
3926,Luka Jovic,Centre-Forward,18,Red Star,SuperLiga,Benfica B,Portugal,2015-2016,1750000.0,6600000
3927,Carlos Tévez,Second Striker,31,Juventus,Serie A,Boca Juniors,Argentina,2015-2016,23000000.0,6500000
3928,Robin van Persie,Centre-Forward,31,Man Utd,Premier League,Fenerbahce,Turkey,2015-2016,15000000.0,6500000
3929,Kyriakos Papadopoulos,Centre-Back,23,FC Schalke 04,1.Bundesliga,Bay. Leverkusen,Germany,2015-2016,7500000.0,6500000
3930,Lewis Holtby,Attacking Midfield,24,Spurs,Premier League,Hamburger SV,Germany,2015-2016,4000000.0,6500000
3931,Zé Luís,Centre-Forward,24,Braga,Liga NOS,Spartak Moscow,Russia,2015-2016,3500000.0,6500000
3932,Steven Berghuis,Right Winger,23,AZ Alkmaar,Eredivisie,Watford,England,2015-2016,3500000.0,6500000
3933,Sidnei,Centre-Back,25,Benfica,Liga NOS,Dep. La Coruña,Spain,2015-2016,3000000.0,6500000
3934,Lamine Koné,Centre-Back,27,FC Lorient,Ligue 1,Sunderland,England,2015-2016,2500000.0,6500000
3935,Xuesheng Dong,Centre-Forward,26,GZ Evergrande,Super League,HB CFFC,China,2015-2016,125000.0,6500000
3936,Giovani dos Santos,Second Striker,26,Villarreal CF,LaLiga,Los Angeles,USA,2015-2016,9000000.0,6350000
3937,Ning Jiang,Left Winger,29,GZ R&F,Super League,HB CFFC,China,2015-2016,200000.0,6250000
3938,Nani,Left Winger,28,Man Utd,Premier League,Fenerbahce,Turkey,2015-2016,15000000.0,6000000
3939,Mathieu Valbuena,Left Winger,30,Dinamo Moscow,Premier Liga,Olympique Lyon,France,2015-2016,11500000.0,6000000
3940,Ivelin Popov,Attacking Midfield,27,Kuban Krasnodar,Premier Liga,Spartak Moscow,Russia,2015-2016,9500000.0,6000000
3941,Franco Di Santo,Centre-Forward,26,Werder Bremen,1.Bundesliga,FC Schalke 04,Germany,2015-2016,8500000.0,6000000
